ID,Location,Country,Flag,Time,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND
235,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1996,13.456,1.318,319.619,26181.54
259,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1996,9.16,0.718,170.275,896.17
307,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1996,20.275,1.433,242.473,9672.21
348,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1996,14.875,1.112,223.071,1143.14
418,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1996,15.224,1.497,321.77,19226.75
425,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1996,16.546,0.935,201.152,11700.4
472,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,1996,16.693,1.315,212.121,2250.35
494,HUN,Hungary,https://flagicons.lipis.dev/flags/4x3/hu.svg,1996,27.273,1.816,169.22,1744.87
511,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1996,12.882,0.763,156.317,568.6
582,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1996,14.277,1.118,279.501,75.16
606,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,1996,19.968,1.39,319.386,18160.38
615,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1996,21.039,1.288,315.832,39718.08
668,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1996,23.041,0.835,120.499,5485.68
724,LUX,Luxembourg,https://flagicons.lipis.dev/flags/4x3/lu.svg,1996,11.524,0.616,268.172,111.08
758,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1996,11.627,0.848,205.342,3189.06
819,NOR,Norway,https://flagicons.lipis.dev/flags/4x3/no.svg,1996,9.653,0.694,185.931,814.63
866,NZL,New Zealand,https://flagicons.lipis.dev/flags/4x3/ne.svg,1996,14.541,1.002,185.022,690.5
905,PRT,Portugal,https://flagicons.lipis.dev/flags/4x3/pt.svg,1996,24.626,1.835,273.478,2752.27
982,SWE,Sweden,https://flagicons.lipis.dev/flags/4x3/se.svg,1996,14.254,1.068,252.227,2229.94
3,AUS,Australia,https://flagicons.lipis.dev/flags/4x3/au.svg,1997,13.437,0.95,232.59,4306.87
65,AUT,Austria,https://flagicons.lipis.dev/flags/4x3/at.svg,1997,11.213,1.01,255.927,2039.24
75,BEL,Belgium,https://flagicons.lipis.dev/flags/4x3/be.svg,1997,17.497,1.332,318.442,3242.14
114,CAN,Canada,https://flagicons.lipis.dev/flags/4x3/ca.svg,1997,15.255,1.273,320.266,9603.88
157,CHE,Switzerland,https://flagicons.lipis.dev/flags/4x3/ch.svg,1997,10.453,0.96,305.359,2164.66
193,CZE,Czech Republic,https://flagicons.lipis.dev/flags/4x3/cz.svg,1997,27.252,1.539,225.909,2327.8
254,DEU,Germany,https://flagicons.lipis.dev/flags/4x3/de.svg,1997,13.439,1.301,322.366,26445.22
265,DNK,Denmark,https://flagicons.lipis.dev/flags/4x3/dk.svg,1997,9.295,0.72,179.425,948.26
308,ESP,Spain,https://flagicons.lipis.dev/flags/4x3/es.svg,1997,21.321,1.482,264.692,10602.87
349,FIN,Finland,https://flagicons.lipis.dev/flags/4x3/fi.svg,1997,15.244,1.087,236.623,1216.2
407,FRA,France,https://flagicons.lipis.dev/flags/4x3/fr.svg,1997,15.462,1.501,336.182,20159.1
426,GBR,United Kingdom,https://flagicons.lipis.dev/flags/4x3/gb.svg,1997,16.925,0.935,212.206,12375.21
471,GRC,Greece,https://flagicons.lipis.dev/flags/4x3/gr.svg,1997,16.871,1.298,222.511,2372.25
493,HUN,Hungary,https://flagicons.lipis.dev/flags/4x3/hu.svg,1997,27.639,1.747,171.035,1760.03
510,IRL,Ireland,https://flagicons.lipis.dev/flags/4x3/ie.svg,1997,12.558,0.734,165.977,609.83
585,ISL,Iceland,https://flagicons.lipis.dev/flags/4x3/ic.svg,1997,15.489,1.198,322.933,87.56
605,ITA,Italy,https://flagicons.lipis.dev/flags/4x3/it.svg,1997,20.183,1.458,347.054,19744.03
624,JPN,Japan,https://flagicons.lipis.dev/flags/4x3/jp.svg,1997,19.496,1.248,313.426,39509.54
669,KOR,South Korea,https://flagicons.lipis.dev/flags/4x3/kr.svg,1997,22.989,0.829,127.733,5869.79
723,LUX,Luxembourg,https://flagicons.lipis.dev/flags/4x3/lu.svg,1997,12.647,0.664,299.201,125.5
777,NLD,Netherlands,https://flagicons.lipis.dev/flags/4x3/nl.svg,1997,11.499,0.817,210.01,3278.39
